CODE,BARCODE,stock
BP3600C.520,8681668641976,10
BP3600C.230,8681668483439,12
BP3600C.331,8681668641990,10
BP3608X.350,8681668483750,10
BP3653C.320,8681668494855,10
BP3653C.270,8681668642003,11
BP3808C.530,8681668642447,10
BP3826C.320,8681668619562,10
BP3839C.320,8681668642256,10
BP3018X.390,8681668467507,11
BP3018X.361,8681668641662,1
BP3829X.420,8681668619739,10
BP3837X.651,8681668641600,10
BP3810X.560,8681668618626,10
BP3815X.351,8681668618879,1
BP3815X.099,8681668618909,10
BP3823X.350,8681668619364,10
BP3811X.331,8681668618657,10
BP3812X.390,8681668618732,10
BP3825X.360,8681668619548,10
BP3831X.391,8681668620209,10
BP3822X.331,8681668619289,10
BP3841X.361,8681668641464,10
BP3841X.062,8681668641488,10
BP3844X.120,8681668642393,10
BP3835X.350,8681668641297,10
BP3816X.390,8681668618947,10
BP3791X.350,8681668641389,11
BP3867X.351,8681668643703,10
BP3742X.351,8681668549425,11
